testName,rawScore,execTime,timestamp
0000.txt,3113.00,401,2025-02-06 23:22:16
0001.txt,3105.00,422,2025-02-06 23:22:17
0002.txt,3104.00,401,2025-02-06 23:22:18
0003.txt,3116.00,368,2025-02-06 23:22:18
0004.txt,3112.00,421,2025-02-06 23:22:19
0005.txt,3112.00,556,2025-02-06 23:22:19
0006.txt,3102.00,497,2025-02-06 23:22:20
0007.txt,3112.00,435,2025-02-06 23:22:21
0008.txt,3119.00,408,2025-02-06 23:22:21
0009.txt,3123.00,380,2025-02-06 23:22:22
0010.txt,3119.00,427,2025-02-06 23:22:22
0011.txt,3108.00,473,2025-02-06 23:22:23
0012.txt,3115.00,446,2025-02-06 23:22:23
0013.txt,3116.00,411,2025-02-06 23:22:24
0014.txt,3111.00,457,2025-02-06 23:22:24
0015.txt,3103.00,476,2025-02-06 23:22:25
0016.txt,3114.00,450,2025-02-06 23:22:26
0017.txt,3124.00,382,2025-02-06 23:22:26
0018.txt,3119.00,442,2025-02-06 23:22:27
0019.txt,3115.00,557,2025-02-06 23:22:27
0020.txt,3121.00,410,2025-02-06 23:22:28
0021.txt,3119.00,434,2025-02-06 23:22:28
0022.txt,3114.00,458,2025-02-06 23:22:29
0023.txt,3111.00,486,2025-02-06 23:22:30
0024.txt,3116.00,429,2025-02-06 23:22:30
0025.txt,3116.00,467,2025-02-06 23:22:31
0026.txt,3109.00,463,2025-02-06 23:22:31
0027.txt,3114.00,431,2025-02-06 23:22:32
0028.txt,3116.00,402,2025-02-06 23:22:33
0029.txt,3111.00,461,2025-02-06 23:22:33
0030.txt,3118.00,694,2025-02-06 23:22:34
0031.txt,3115.00,455,2025-02-06 23:22:34
0032.txt,3113.00,452,2025-02-06 23:22:35
0033.txt,3110.00,463,2025-02-06 23:22:36
0034.txt,3113.00,503,2025-02-06 23:22:36
0035.txt,3100.00,486,2025-02-06 23:22:37
0036.txt,3111.00,449,2025-02-06 23:22:38
0037.txt,3110.00,448,2025-02-06 23:22:38
0038.txt,3109.00,447,2025-02-06 23:22:39
0039.txt,3110.00,833,2025-02-06 23:22:39
0040.txt,3108.00,521,2025-02-06 23:22:40
0041.txt,3109.00,478,2025-02-06 23:22:41
0042.txt,3109.00,447,2025-02-06 23:22:42
0043.txt,3112.00,495,2025-02-06 23:22:42
0044.txt,3116.00,420,2025-02-06 23:22:43
0045.txt,3110.00,450,2025-02-06 23:22:43
0046.txt,3114.00,421,2025-02-06 23:22:44
0047.txt,3125.00,370,2025-02-06 23:22:44
0048.txt,3102.00,494,2025-02-06 23:22:45
0049.txt,3103.00,521,2025-02-06 23:22:46
0050.txt,3121.00,397,2025-02-06 23:22:46
0051.txt,3113.00,440,2025-02-06 23:22:47
0052.txt,3098.00,524,2025-02-06 23:22:47
0053.txt,3103.00,530,2025-02-06 23:22:48
0054.txt,3117.00,848,2025-02-06 23:22:49
0055.txt,3109.00,941,2025-02-06 23:22:50
0056.txt,3118.00,535,2025-02-06 23:22:51
0057.txt,3124.00,420,2025-02-06 23:22:52
0058.txt,3105.00,484,2025-02-06 23:22:52
0059.txt,3114.00,389,2025-02-06 23:22:53
0060.txt,3107.00,506,2025-02-06 23:22:53
0061.txt,3100.00,549,2025-02-06 23:22:54
0062.txt,3112.00,439,2025-02-06 23:22:55
0063.txt,3117.00,436,2025-02-06 23:22:55
0064.txt,3106.00,455,2025-02-06 23:22:56
0065.txt,3107.00,481,2025-02-06 23:22:56
0066.txt,3117.00,421,2025-02-06 23:22:57
0067.txt,3102.00,499,2025-02-06 23:22:57
0068.txt,3114.00,420,2025-02-06 23:22:58
0069.txt,3107.00,475,2025-02-06 23:22:59
0070.txt,3118.00,406,2025-02-06 23:22:59
0071.txt,3096.00,510,2025-02-06 23:23:00
0072.txt,3112.00,463,2025-02-06 23:23:00
0073.txt,3105.00,523,2025-02-06 23:23:01
0074.txt,3109.00,448,2025-02-06 23:23:02
0075.txt,3119.00,416,2025-02-06 23:23:02
0076.txt,3105.00,482,2025-02-06 23:23:03
0077.txt,3122.00,401,2025-02-06 23:23:03
0078.txt,3106.00,599,2025-02-06 23:23:04
0079.txt,3104.00,504,2025-02-06 23:23:05
0080.txt,3120.00,404,2025-02-06 23:23:05
0081.txt,3119.00,389,2025-02-06 23:23:06
0082.txt,3108.00,499,2025-02-06 23:23:06
0083.txt,3117.00,410,2025-02-06 23:23:07
0084.txt,3116.00,446,2025-02-06 23:23:08
0085.txt,3119.00,416,2025-02-06 23:23:08
0086.txt,3117.00,450,2025-02-06 23:23:09
0087.txt,3115.00,469,2025-02-06 23:23:09
0088.txt,3102.00,520,2025-02-06 23:23:10
0089.txt,3121.00,377,2025-02-06 23:23:11
0090.txt,3114.00,502,2025-02-06 23:23:11
0091.txt,3124.00,390,2025-02-06 23:23:12
0092.txt,3119.00,373,2025-02-06 23:23:12
0093.txt,3119.00,359,2025-02-06 23:23:13
0094.txt,3110.00,378,2025-02-06 23:23:13
0095.txt,3104.00,426,2025-02-06 23:23:14
0096.txt,3121.00,365,2025-02-06 23:23:14
0097.txt,3096.00,425,2025-02-06 23:23:15
0098.txt,3113.00,362,2025-02-06 23:23:15
0099.txt,3110.00,388,2025-02-06 23:23:16
