testName,rawScore,execTime,timestamp
0000.txt,3111.00,81,2025-02-06 23:21:17
0001.txt,3105.00,85,2025-02-06 23:21:18
0002.txt,3099.00,94,2025-02-06 23:21:18
0003.txt,3117.00,72,2025-02-06 23:21:19
0004.txt,3109.00,76,2025-02-06 23:21:19
0005.txt,3104.00,86,2025-02-06 23:21:19
0006.txt,3097.00,93,2025-02-06 23:21:19
0007.txt,3120.00,73,2025-02-06 23:21:19
0008.txt,3116.00,78,2025-02-06 23:21:20
0009.txt,3114.00,76,2025-02-06 23:21:20
0010.txt,3119.00,73,2025-02-06 23:21:20
0011.txt,3107.00,81,2025-02-06 23:21:20
0012.txt,3115.00,76,2025-02-06 23:21:20
0013.txt,3109.00,84,2025-02-06 23:21:20
0014.txt,3108.00,92,2025-02-06 23:21:21
0015.txt,3095.00,95,2025-02-06 23:21:21
0016.txt,3103.00,98,2025-02-06 23:21:21
0017.txt,3113.00,80,2025-02-06 23:21:21
0018.txt,3110.00,81,2025-02-06 23:21:21
0019.txt,3111.00,81,2025-02-06 23:21:22
0020.txt,3100.00,82,2025-02-06 23:21:22
0021.txt,3107.00,115,2025-02-06 23:21:22
0022.txt,3117.00,89,2025-02-06 23:21:22
0023.txt,3102.00,90,2025-02-06 23:21:22
0024.txt,3115.00,102,2025-02-06 23:21:23
0025.txt,3112.00,78,2025-02-06 23:21:23
0026.txt,3097.00,81,2025-02-06 23:21:23
0027.txt,3105.00,81,2025-02-06 23:21:23
0028.txt,3116.00,78,2025-02-06 23:21:23
0029.txt,3109.00,92,2025-02-06 23:21:24
0030.txt,3102.00,92,2025-02-06 23:21:24
0031.txt,3109.00,79,2025-02-06 23:21:24
0032.txt,3110.00,79,2025-02-06 23:21:24
0033.txt,3116.00,78,2025-02-06 23:21:24
0034.txt,3109.00,85,2025-02-06 23:21:25
0035.txt,3096.00,82,2025-02-06 23:21:25
0036.txt,3105.00,83,2025-02-06 23:21:25
0037.txt,3115.00,88,2025-02-06 23:21:25
0038.txt,3110.00,91,2025-02-06 23:21:25
0039.txt,3113.00,99,2025-02-06 23:21:26
0040.txt,3099.00,92,2025-02-06 23:21:26
0041.txt,3105.00,80,2025-02-06 23:21:26
0042.txt,3115.00,110,2025-02-06 23:21:26
0043.txt,3110.00,92,2025-02-06 23:21:27
0044.txt,3113.00,102,2025-02-06 23:21:27
0045.txt,3110.00,74,2025-02-06 23:21:27
0046.txt,3113.00,69,2025-02-06 23:21:27
0047.txt,3123.00,96,2025-02-06 23:21:27
0048.txt,3097.00,85,2025-02-06 23:21:27
0049.txt,3096.00,111,2025-02-06 23:21:28
0050.txt,3116.00,68,2025-02-06 23:21:28
0051.txt,3111.00,75,2025-02-06 23:21:28
0052.txt,3085.00,144,2025-02-06 23:21:28
0053.txt,3102.00,91,2025-02-06 23:21:29
0054.txt,3111.00,76,2025-02-06 23:21:29
0055.txt,3107.00,105,2025-02-06 23:21:29
0056.txt,3108.00,81,2025-02-06 23:21:29
0057.txt,3117.00,69,2025-02-06 23:21:29
0058.txt,3103.00,88,2025-02-06 23:21:29
0059.txt,3112.00,72,2025-02-06 23:21:30
0060.txt,3106.00,121,2025-02-06 23:21:30
0061.txt,3099.00,82,2025-02-06 23:21:30
0062.txt,3110.00,78,2025-02-06 23:21:30
0063.txt,3116.00,75,2025-02-06 23:21:30
0064.txt,3107.00,75,2025-02-06 23:21:31
0065.txt,3109.00,81,2025-02-06 23:21:31
0066.txt,3112.00,77,2025-02-06 23:21:31
0067.txt,3096.00,87,2025-02-06 23:21:31
0068.txt,3111.00,75,2025-02-06 23:21:31
0069.txt,3105.00,113,2025-02-06 23:21:32
0070.txt,3107.00,85,2025-02-06 23:21:32
0071.txt,3097.00,84,2025-02-06 23:21:32
0072.txt,3108.00,100,2025-02-06 23:21:32
0073.txt,3106.00,91,2025-02-06 23:21:33
0074.txt,3105.00,93,2025-02-06 23:21:33
0075.txt,3115.00,69,2025-02-06 23:21:33
0076.txt,3101.00,101,2025-02-06 23:21:33
0077.txt,3109.00,79,2025-02-06 23:21:33
0078.txt,3110.00,88,2025-02-06 23:21:34
0079.txt,3106.00,98,2025-02-06 23:21:34
0080.txt,3117.00,89,2025-02-06 23:21:34
0081.txt,3114.00,113,2025-02-06 23:21:34
0082.txt,3110.00,100,2025-02-06 23:21:34
0083.txt,3107.00,121,2025-02-06 23:21:35
0084.txt,3104.00,82,2025-02-06 23:21:35
0085.txt,3114.00,75,2025-02-06 23:21:35
0086.txt,3110.00,86,2025-02-06 23:21:35
0087.txt,3109.00,82,2025-02-06 23:21:35
0088.txt,3100.00,105,2025-02-06 23:21:36
0089.txt,3119.00,68,2025-02-06 23:21:36
0090.txt,3109.00,111,2025-02-06 23:21:36
0091.txt,3125.00,64,2025-02-06 23:21:36
0092.txt,3106.00,85,2025-02-06 23:21:36
0093.txt,3108.00,86,2025-02-06 23:21:37
0094.txt,3109.00,78,2025-02-06 23:21:37
0095.txt,3105.00,80,2025-02-06 23:21:37
0096.txt,3117.00,80,2025-02-06 23:21:37
0097.txt,3092.00,89,2025-02-06 23:21:37
0098.txt,3108.00,79,2025-02-06 23:21:37
0099.txt,3108.00,79,2025-02-06 23:21:38
