testName,rawScore,execTime,timestamp
0000.txt,3112.00,1249,2025-02-06 23:28:48
0001.txt,3102.00,1375,2025-02-06 23:28:50
0002.txt,3109.00,1272,2025-02-06 23:28:51
0003.txt,3119.00,1063,2025-02-06 23:28:53
0004.txt,3109.00,1308,2025-02-06 23:28:54
0005.txt,3107.00,1448,2025-02-06 23:28:55
0006.txt,3105.00,1407,2025-02-06 23:28:57
0007.txt,3116.00,1355,2025-02-06 23:28:58
0008.txt,3113.00,1131,2025-02-06 23:29:00
0009.txt,3118.00,1026,2025-02-06 23:29:01
0010.txt,3116.00,1140,2025-02-06 23:29:02
0011.txt,3108.00,1195,2025-02-06 23:29:03
0012.txt,3118.00,1066,2025-02-06 23:29:05
0013.txt,3115.00,1139,2025-02-06 23:29:06
0014.txt,3115.00,1142,2025-02-06 23:29:07
0015.txt,3108.00,1170,2025-02-06 23:29:08
0016.txt,3115.00,1106,2025-02-06 23:29:10
0017.txt,3124.00,1316,2025-02-06 23:29:11
0018.txt,3119.00,1436,2025-02-06 23:29:12
0019.txt,3117.00,1134,2025-02-06 23:29:14
0020.txt,3116.00,1022,2025-02-06 23:29:15
0021.txt,3119.00,1070,2025-02-06 23:29:16
0022.txt,3114.00,1081,2025-02-06 23:29:17
0023.txt,3111.00,1234,2025-02-06 23:29:19
0024.txt,3117.00,1071,2025-02-06 23:29:20
0025.txt,3112.00,1151,2025-02-06 23:29:21
0026.txt,3104.00,1250,2025-02-06 23:29:22
0027.txt,3111.00,1143,2025-02-06 23:29:24
0028.txt,3117.00,1032,2025-02-06 23:29:25
0029.txt,3117.00,1030,2025-02-06 23:29:26
0030.txt,3116.00,1072,2025-02-06 23:29:27
0031.txt,3121.00,1253,2025-02-06 23:29:29
0032.txt,3111.00,1208,2025-02-06 23:29:30
0033.txt,3110.00,1373,2025-02-06 23:29:31
0034.txt,3117.00,1067,2025-02-06 23:29:33
0035.txt,3100.00,1408,2025-02-06 23:29:34
0036.txt,3112.00,1164,2025-02-06 23:29:36
0037.txt,3110.00,1161,2025-02-06 23:29:37
0038.txt,3112.00,1087,2025-02-06 23:29:38
0039.txt,3114.00,1277,2025-02-06 23:29:39
0040.txt,3110.00,1133,2025-02-06 23:29:41
0041.txt,3111.00,1110,2025-02-06 23:29:42
0042.txt,3115.00,1088,2025-02-06 23:29:43
0043.txt,3114.00,1105,2025-02-06 23:29:44
0044.txt,3118.00,1272,2025-02-06 23:29:46
0045.txt,3117.00,1117,2025-02-06 23:29:47
0046.txt,3114.00,1108,2025-02-06 23:29:48
0047.txt,3125.00,986,2025-02-06 23:29:49
0048.txt,3107.00,1423,2025-02-06 23:29:51
0049.txt,3103.00,1436,2025-02-06 23:29:52
0050.txt,3122.00,1088,2025-02-06 23:29:54
0051.txt,3117.00,1150,2025-02-06 23:29:55
0052.txt,3098.00,1514,2025-02-06 23:29:56
0053.txt,3105.00,1393,2025-02-06 23:29:58
0054.txt,3121.00,1156,2025-02-06 23:29:59
0055.txt,3108.00,1657,2025-02-06 23:30:01
0056.txt,3112.00,1362,2025-02-06 23:30:02
0057.txt,3124.00,1111,2025-02-06 23:30:04
0058.txt,3110.00,1297,2025-02-06 23:30:05
0059.txt,3115.00,1304,2025-02-06 23:30:06
0060.txt,3107.00,1513,2025-02-06 23:30:08
0061.txt,3102.00,1418,2025-02-06 23:30:10
0062.txt,3113.00,1302,2025-02-06 23:30:11
0063.txt,3117.00,1284,2025-02-06 23:30:13
0064.txt,3106.00,1513,2025-02-06 23:30:14
0065.txt,3111.00,1283,2025-02-06 23:30:16
0066.txt,3108.00,1485,2025-02-06 23:30:17
0067.txt,3102.00,1449,2025-02-06 23:30:19
0068.txt,3112.00,1282,2025-02-06 23:30:20
0069.txt,3116.00,1201,2025-02-06 23:30:22
0070.txt,3113.00,1236,2025-02-06 23:30:23
0071.txt,3111.00,1208,2025-02-06 23:30:24
0072.txt,3111.00,1307,2025-02-06 23:30:26
0073.txt,3102.00,1416,2025-02-06 23:30:27
0074.txt,3109.00,1364,2025-02-06 23:30:29
0075.txt,3118.00,1201,2025-02-06 23:30:30
0076.txt,3106.00,1565,2025-02-06 23:30:31
0077.txt,3123.00,1117,2025-02-06 23:30:33
0078.txt,3108.00,1388,2025-02-06 23:30:34
0079.txt,3112.00,1390,2025-02-06 23:30:36
0080.txt,3115.00,1197,2025-02-06 23:30:37
0081.txt,3118.00,1372,2025-02-06 23:30:39
0082.txt,3111.00,1469,2025-02-06 23:30:40
0083.txt,3117.00,1269,2025-02-06 23:30:42
0084.txt,3114.00,1299,2025-02-06 23:30:43
0085.txt,3118.00,1215,2025-02-06 23:30:45
0086.txt,3118.00,1426,2025-02-06 23:30:46
0087.txt,3113.00,1411,2025-02-06 23:30:48
0088.txt,3106.00,1501,2025-02-06 23:30:49
0089.txt,3120.00,1294,2025-02-06 23:30:51
0090.txt,3116.00,1321,2025-02-06 23:30:52
0091.txt,3122.00,1109,2025-02-06 23:30:54
0092.txt,3122.00,1098,2025-02-06 23:30:55
0093.txt,3114.00,1195,2025-02-06 23:30:56
0094.txt,3115.00,1181,2025-02-06 23:30:57
0095.txt,3109.00,1404,2025-02-06 23:30:59
0096.txt,3119.00,1234,2025-02-06 23:31:00
0097.txt,3096.00,1600,2025-02-06 23:31:02
0098.txt,3107.00,1349,2025-02-06 23:31:03
0099.txt,3114.00,1352,2025-02-06 23:31:05
